Date,Time,Open,High,Low,Close,Volume
2022/8/2,10:17:00,14621,14629,14621,14626,175
2022/8/2,10:18:00,14626,14634,14625,14633,137
2022/8/2,10:19:00,14633,14635,14629,14633,151
2022/8/2,10:20:00,14632,14638,14628,14629,151
2022/8/2,10:21:00,14628,14630,14625,14630,125
2022/8/2,10:22:00,14630,14632,14626,14632,140
2022/8/2,10:23:00,14630,14636,14630,14635,132
2022/8/2,10:24:00,14634,14643,14633,14643,232
2022/8/2,10:25:00,14644,14647,14636,14645,260
2022/8/2,10:26:00,14644,14644,14636,14637,133
2022/8/2,10:27:00,14638,14638,14632,14635,121
2022/8/2,10:28:00,14636,14645,14635,14640,207
2022/8/2,10:29:00,14640,14650,14638,14647,269
2022/8/2,10:30:00,14647,14648,14639,14640,157
2022/8/2,10:31:00,14641,14653,14640,14649,661
2022/8/2,10:32:00,14648,14648,14636,14636,249
2022/8/2,10:33:00,14636,14639,14635,14638,122
2022/8/2,10:34:00,14638,14639,14634,14635,155
2022/8/2,10:35:00,14637,14642,14634,14640,136
2022/8/2,10:36:00,14640,14646,14639,14640,156
2022/8/2,10:37:00,14641,14641,14634,14636,174
2022/8/2,10:38:00,14636,14650,14636,14648,161
2022/8/2,10:39:00,14649,14659,14646,14658,595
2022/8/2,10:40:00,14658,14679,14658,14679,1119
2022/8/2,10:41:00,14679,14685,14675,14680,1174
2022/8/2,10:42:00,14681,14696,14678,14690,1214
2022/8/2,10:43:00,14690,14696,14681,14682,577
2022/8/2,10:44:00,14682,14684,14674,14675,500
2022/8/2,10:45:00,14675,14680,14674,14676,279
2022/8/2,10:46:00,14676,14683,14675,14677,343
2022/8/2,10:47:00,14676,14676,14665,14670,490
2022/8/2,10:48:00,14669,14676,14669,14675,134
2022/8/2,10:49:00,14676,14681,14676,14680,165
2022/8/2,10:50:00,14680,14682,14676,14676,209
2022/8/2,10:51:00,14676,14677,14663,14664,287
2022/8/2,10:52:00,14666,14671,14664,14671,123
2022/8/2,10:53:00,14670,14670,14661,14662,169
2022/8/2,10:54:00,14661,14666,14660,14662,191
2022/8/2,10:55:00,14662,14668,14660,14667,119
2022/8/2,10:56:00,14666,14668,14661,14664,121
2022/8/2,10:57:00,14666,14670,14664,14669,109
2022/8/2,10:58:00,14670,14673,14669,14671,156
